title,date,tags,company,link
공지 : 'LY Corporation Tech Blog'로 이사했습니다.,2023.10.02,,라인,https://engineering.linecorp.com/ko/blog/LY-Corporation-Tech-Blog/
더욱 견고해진 LINE의 오픈소스 관리: OpenChain 인증과 그 뒷이야기를 소개합니다,2023.08.25,open source,라인,https://engineering.linecorp.com/ko/blog/line-achieves-openchain-isoiec-5230-certification/
HiveQL을 Spark SQL로 이전 시 발생하는 문제 해결하기,2023.08.23,data/ai,라인,https://engineering.linecorp.com/ko/blog/from-hiveql-to-sparksql-troubleshooting/
독립적이고 범용적인 올인원 메시징 플랫폼,2023.08.04,server-side,라인,https://engineering.linecorp.com/ko/blog/independent-universal-all-in-one-messaging-platform/
전통적인 CMS에서 LandPress Content로 CMS를 옮기는 이유,2023.08.03,web development,라인,https://engineering.linecorp.com/ko/blog/from-traditional-cms-to-landpress-content/
ELK와 Grafana를 이용해 테스트 자동화 시각화하기,2023.07.14,qa,라인,https://engineering.linecorp.com/ko/blog/visualizing-test-automation-with-elk-grafana/
Ceph의 한계를 극복하고 하이퍼 스케일 프로젝트를 구축한 방법,2023.07.05,cloud/infra,라인,https://engineering.linecorp.com/ko/blog/about-hyperscale-ceph-project/
"서버 없이 웹 사이트 쉽게 만들기, LINE의 헤드리스 CMS ",2023.06.30,web development,라인,https://engineering.linecorp.com/ko/blog/headless-cms-in-line/
쿠버네티스를 활용한 선언형 클라우드 DB 서비스,2023.06.26,cloud/infra,라인,https://engineering.linecorp.com/ko/blog/declarative-cloud-db-service-using-kubernetes/
Swift Concurrency 성능 조사,2023.06.13,ios#client-side,라인,https://engineering.linecorp.com/ko/blog/about-swift-concurrency-performance/
Spring Boot + Kubernetes 기반에서 웜업 적용하기,2023.06.02,java#kotlin#server-dev,라인,https://engineering.linecorp.com/ko/blog/apply-warm-up-in-spring-boot-and-kubernetes/
AI-Text 필터링 모델을 위한 거대 ML 모델 적용기,2023.05.25,data/ai,라인,https://engineering.linecorp.com/ko/blog/apply-large-ml-models-for-ai-text-filtering-models/
다수의 연합학습을 지원하기 위한 LFL 클라이언트 플랫폼,2023.05.19,andorid#ios#data/ai#client-side,라인,https://engineering.linecorp.com/ko/blog/lfl-client-platform-for-multiple-federated-learning-instances/
BANEX 템플릿 - 사업부터 개발까지 모든 스테이크홀더의 눈높이를 맞추는 프로덕트 플래닝,2023.05.12,tech management,라인,https://engineering.linecorp.com/ko/blog/banex-template-for-product-planning/
엔지니어링 조직의 프로세스를 점진적이고 지속적으로 개선하기,2023.05.10,tech management,라인,https://engineering.linecorp.com/ko/blog/process-improvement-in-engineering-organizations/
"Android 신입 개발자, Flutter로 기술 전환 가보자고",2023.05.08,andorid#ios#front end,라인,https://engineering.linecorp.com/ko/blog/flutter-onboarding-for-new-employees/
더 쉽고 안전한 LINE 계정 이전,2023.05.08,server-side,라인,https://engineering.linecorp.com/ko/blog/easier-safer-line-account-transfer/
