title,date,tags,company,link
Redis 서비스를 만들어가는 QA Engineer의 기록,2023.03.13,kakao enterprise#kakao i cloud#qa#qa engineer#quality assurance#redis#test process#kakao#kakao i cloud#cloud,카카오엔터프라이즈,https://tech.kakaoenterprise.com/183
워크서버개발팀의 GitHub Actions 적용기,2023.02.27,ci#ci#custom actions#github#github actions#kakao enterprise#kakao enterprise,카카오엔터프라이즈,https://tech.kakaoenterprise.com/180
카카오워크 음성채팅 웹 개발기,2023.02.08,front end#kakao enterprise#rxjs#svelte#webrtc#webview#reactive-programming#카카오워크,카카오엔터프라이즈,https://tech.kakaoenterprise.com/179
대화 속에 드러나는 감정을 분석해드립니다!,2022.09.28,emotion#emotionrecognition#kakao enterprise#nlp#감정분석#대화분석#외개인아가#일상대화#chatbot#kakao enterprise,카카오엔터프라이즈,https://tech.kakaoenterprise.com/157
실전 Infinite Scroll with React,2022.07.11,front end#intersection observer api#kakao enterprise#react#react query#scroll event#리액트#kakao enterprise#카카오엔터프라이즈 기술블로그,카카오엔터프라이즈,https://tech.kakaoenterprise.com/149
카카오엔터프라이즈 탐방기! (비전편),2022.06.29,ai lab#ai research#ai vision#kakao enterprise#무인상점#워크스루#카카오 i 시각엔진#kakao enterprise#카카오엔터프라이즈 기술블로그#카카오워크,카카오엔터프라이즈,https://tech.kakaoenterprise.com/148
우리는 클라우드 개발에 진심입니다! - SmartNIC 편,2022.04.05,cloud#kakao enterprise#smartnic#kakao i cloud#kakao enterprise#카카오엔터프라이즈 기술블로그,카카오엔터프라이즈,https://tech.kakaoenterprise.com/137
"스마트한 컨택센터의 핵심, 챗봇에 대하여",2021.12.24,ai#chatbot#contact center#kakao enterprise#kakao i#machine learning#nlp#chatbot#kakao enterprise#카카오엔터프라이즈 기술블로그,카카오엔터프라이즈,https://tech.kakaoenterprise.com/128
내 마음대로 설정하는 나만의 호출명령어,2021.11.08,kakao enterprise#kakao i#wakeupword#카카오미니#kakao enterprise#카카오엔터프라이즈 기술블로그#헤이자비스#헤이죠르디#heykakao#호출 명령어,카카오엔터프라이즈,https://tech.kakaoenterprise.com/122
WebRTC 응용 서비스를 개발하는 2가지 방법,2021.10.25,kakao enterprise#kakao i#kakao i connect live#p2p#webrtc#livestreaming#라이브커머스#kakao enterprise#카카오엔터프라이즈 기술블로그#화상회의,카카오엔터프라이즈,https://tech.kakaoenterprise.com/121
"헤이카카오 x 직방 프롭테크 프로젝트, API로 부동산 Bot 만들기",2021.10.18,api#api#kakao enterprise#봇개발#봇기획#부동산api#kakao enterprise#카카오엔터프라이즈 기술블로그#프롭테크#heykakao,카카오엔터프라이즈,https://tech.kakaoenterprise.com/120
"한국어 자연어 처리 기술과 AI, 어디까지 왔니?",2021.10.07,ai#kakao enterprise#nlp#data#ai#자연어처리기술#kakao enterprise#카카오엔터프라이즈 기술블로그#한국어자연어처리#한글날,카카오엔터프라이즈,https://tech.kakaoenterprise.com/117
헤이카카오를 '자비스'로 만들어보자,2021.07.09,wakeupword#내호출명령어#사용자호출명령어#음성인식#음성인식기술#음성인식기술#음성인식기술#헤이죠르디#heykakao#호출 명령어,카카오엔터프라이즈,https://tech.kakaoenterprise.com/111
