title,date,tags,company,link
Meet Coupang’s Machine Learning Platform,2023.09.08,ai#machine learning#tech#ml pipeline#ml model,쿠팡,https://medium.com/coupang-engineering/meet-coupangs-machine-learning-platform-cd00e9ccc172?source=---------0-----------------------
Optimizing the inbound process with a machine learning model,2023.03.09,ai#tech#machine learning#optimization#logistics,쿠팡,https://medium.com/coupang-engineering/optimizing-the-inbound-process-with-a-machine-learning-model-2db48bbbc304?source=---------1-----------------------
Rocket Growth’s ML platform: Handling high traffic and more than 20 models cost-efficiently,2022.09.23,ai#software engineering#tech#machine learning#automation,쿠팡,https://medium.com/coupang-engineering/simplifying-large-scale-ml-training-with-an-orchestration-layer-9b90d8d28e39?source=---------2-----------------------
Unsupervised competing neural language model for word segmentation,2022.07.29,ai#machine learning#tech#nlp#language model,쿠팡,https://medium.com/coupang-engineering/unsupervised-competing-neural-language-model-for-word-segmentation-12becc1015bf?source=---------3-----------------------
Matching duplicate items to improve catalog quality,2022.07.01,ai#machine learning#embedding#tech#faiss,쿠팡,https://medium.com/coupang-engineering/matching-duplicate-items-to-improve-catalog-quality-ca4abc827f94?source=---------4-----------------------
Overcoming food delivery challenges with data science,2022.04.22,tech#ai#data science#machine learning#food delivery,쿠팡,https://medium.com/coupang-engineering/overcoming-food-delivery-challenges-with-data-science-6420cac1d59?source=---------5-----------------------
How to build a comprehensive AI/ML system,2018.10.12,modeling#tech#ai#machine learning#case study,쿠팡,https://medium.com/coupang-engineering/ai-ml-%EC%8B%9C%EC%8A%A4%ED%85%9C-%EA%B5%AC%EC%B6%95%EC%97%90-%EB%8C%80%ED%95%9C-%EA%B0%80%EC%9D%B4%EB%93%9C-e3dddae23b01?source=---------6-----------------------
"Coupang SCM Workflow: Building a low-code, no-code platform",2022.10.28,tech#data#workflow automation#no code platform#low code platform,쿠팡,https://medium.com/coupang-engineering/coupang-scm-workflow-building-a-low-code-no-code-platform-3d035c1fa37a?source=---------0-----------------------
Eats data platform: Services for machine learning and audience segmentation,2022.09.02,tech#data#software engineering#data science#machine learning,쿠팡,https://medium.com/coupang-engineering/daas-accelerating-food-delivery-business-at-eats-65e4ccce6470?source=---------1-----------------------
Eats data platform: Empowering businesses with data,2022.08.26,tech#data#kafka#data pipeline#machine learning,쿠팡,https://medium.com/coupang-engineering/eats-data-platform-empowering-businesses-with-data-3cc00fa9968d?source=---------2-----------------------
Towards a robust cloud-based database backup and recovery platform,2022.06.03,tech#data#backup#cloud storage#mysql,쿠팡,https://medium.com/coupang-engineering/towards-a-robust-cloud-based-database-backup-and-recovery-platform-a25792eb1ac3?source=---------3-----------------------
QA testing for microservices,2019.12.17,qa#data#microservice#mocking#tech,쿠팡,https://medium.com/coupang-engineering/qa-mock-system-8b50c201906d?source=---------4-----------------------
Calculating A/B test metrics,2018.07.06,experiment#data#metric#a/b test#tech,쿠팡,https://medium.com/coupang-engineering/coupang-experiment-platform-%EC%A7%80%ED%91%9C-metric-%EC%97%B0%EC%82%B0-%ED%94%84%EB%A0%88%EC%9E%84%EC%9B%8C%ED%81%AC%EC%9D%98-%EB%B3%80%EC%B2%9C%EC%82%AC-909a81fbe048?source=---------5-----------------------
Cloud expenditure optimization for cost efficiency,2023.03.21,tech#infra#optimization#cloud#aws,쿠팡,https://medium.com/coupang-engineering/cloud-expenditure-optimization-for-cost-efficiency-44e9bea3d91b?source=---------0-----------------------
Building in-house map service at Eats,2022.10.13,tech#infra#software engineering#map#optimization,쿠팡,https://medium.com/coupang-engineering/building-in-house-map-service-at-eats-268d5c8913f6?source=---------1-----------------------
Lessons learned from handling massive traffic with cache,2022.08.19,infra#tech#microservice#microservice architecture#backend,쿠팡,https://medium.com/coupang-engineering/lessons-learned-from-operating-our-data-serving-layer-4e9e4f68fe85?source=---------2-----------------------
Our backend strategy to handle massive traffic,2022.08.12,infra#tech#microservice#microservice architecture#backend,쿠팡,https://medium.com/coupang-engineering/our-backend-strategy-to-handle-massive-traffic-d30cd6cc4fb2?source=---------3-----------------------
Data platform 2022: Transforming bytes to business insights,2022.06.24,infra#tech#data platforms#big data#data science,쿠팡,https://medium.com/coupang-engineering/data-platform-2022-transforming-bytes-to-business-insights-9885ab9dce37?source=---------4-----------------------
Data platform 2022: Global expansion in petabytes,2022.06.17,infra#tech#big data#data platforms#data science,쿠팡,https://medium.com/coupang-engineering/data-platform-2022-global-expansion-in-petabytes-3dbbbf27f6fe?source=---------5-----------------------
Fueling the Coupang search engine,2020.05.07,search#indexing#infra#tech#search engines,쿠팡,https://medium.com/coupang-engineering/the-evolution-of-search-discovery-indexing-platform-fa43e41305f9?source=---------6-----------------------
Big Data Platform: Evolving from start-up to big tech company,2019.11.13,big data#hadoop#infra#enterprise data warehouse#tech,쿠팡,https://medium.com/coupang-engineering/evolving-the-coupang-data-platform-308e305a9c45?source=---------7-----------------------
Integrating Coupang platform services to a microservice architecture,2018.05.25,microservice#infra#msa#deployment#tech,쿠팡,https://medium.com/coupang-engineering/%ED%96%89%EB%B3%B5%EC%9D%84-%EC%B0%BE%EA%B8%B0-%EC%9C%84%ED%95%9C-%EC%9A%B0%EB%A6%AC%EC%9D%98-%EC%97%AC%EC%A0%95-a31fc2d5a572?source=---------8-----------------------
How Coupang built a microservice architecture,2018.05.25,msa#microservice#api#infra#tech,쿠팡,https://medium.com/coupang-engineering/%ED%96%89%EB%B3%B5%EC%9D%84-%EC%B0%BE%EA%B8%B0-%EC%9C%84%ED%95%9C-%EC%9A%B0%EB%A6%AC%EC%9D%98-%EC%97%AC%EC%A0%95-94678fe9eb61?source=---------9-----------------------
Coupang Rocket Delivery’s spatial index-based delivery management system,2023.04.17,map#geospatial#h3#tech#mobile,쿠팡,https://medium.com/coupang-engineering/coupang-rocket-deliverys-spatial-index-based-delivery-management-system-26940eaaee63?source=---------0-----------------------
Improving the CI/CD pipeline for mobile app development,2022.07.15,mobile#tech#aws#cicd#dev,쿠팡,https://medium.com/coupang-engineering/improving-the-ci-cd-pipeline-for-mobile-app-development-80912546a4fd?source=---------1-----------------------
Introducing Coupang’s design system,2022.05.20,mobile#design systems#ux#tech#design principles,쿠팡,https://medium.com/coupang-engineering/introducing-the-coupangs-design-system-2b7799653b56?source=---------2-----------------------
The evolution of our Android message passing mechanism,2022.05.06,mobile#tech#andorid#programming#javascript,쿠팡,https://medium.com/coupang-engineering/the-evolution-of-our-android-message-passing-mechanism-44b87e8cdf74?source=---------3-----------------------
Minimizing technical incidents during A/B testing at scale,2022.04.07,experiment#code review#mobile#a/b test#tech,쿠팡,https://medium.com/coupang-engineering/minimizing-technical-incidents-during-a-b-testing-at-scale-9615c53fcf4f?source=---------4-----------------------
