title,date,tags,company,link
1년 동안 Workload의 절반을 ARM64로 Migration하기,2023.07.25,arm64#kubernetes#graviton#aws,하이퍼커넥트,https://hyperconnect.github.io/2023/07/25/migrate-half-of-workload-in-a-year.html
[Hyper and Now] 하이퍼커넥트® 렐 문화 탐구,2023.06.21,devrel,하이퍼커넥트,https://hyperconnect.github.io/2023/06/21/exploring-devrel-culture.html
고성능 ML 백엔드를 위한 10가지 Python 성능 최적화 팁,2023.05.30,python#machine learning#optimization,하이퍼커넥트,https://hyperconnect.github.io/2023/05/30/Python-Performance-Tips.html
Kubernetes 환경에서 Segmentation Fault 트러블슈팅하기 (Feat. Fluent Bit Contribution),2023.05.02,fluent-bit#gdb#debug#kafka#core#coredump#kubernetes,하이퍼커넥트,https://hyperconnect.github.io/2023/05/02/troubleshooting-fluent-bit-segmentation-fault.html
ksqlDB Deep Dive,2023.03.20,ksqldb#kafka-streams,하이퍼커넥트,https://hyperconnect.github.io/2023/03/20/ksqldb-deepdive.html
Junior 개발자의 글로벌 서비스 경험기 2탄,2023.01.30,andorid#junior,하이퍼커넥트,https://hyperconnect.github.io/2023/01/30/azar-android-junior-developer-view-2.html
⚔ Learning with Noisy Labels by Efficient Transition Matrix Estimation to Combat Label Miscorrection,2023.01.27,machine learning#learning-with-noisy-labels,하이퍼커넥트,https://hyperconnect.github.io/2023/01/27/combating-noisy-labels.html
Spring Session + Custom Session Repository 기반 세션 저장소의 메모리 누수 해결,2023.01.09,spring-session#session#memory-leak,하이퍼커넥트,https://hyperconnect.github.io/2023/01/09/redis-session.html
글로벌 라이브 스트리밍을 지탱하는 하이퍼커넥트 미디어 서버 인프라를 소개합니다,2022.12.30,media-server#infra#webrtc,하이퍼커넥트,https://hyperconnect.github.io/2022/12/30/introduction-to-media-server.html
머신러닝 모델 서빙 비용 1/4로 줄이기,2022.12.13,aws#inferentia#infra#cost#machine learning,하이퍼커넥트,https://hyperconnect.github.io/2022/12/13/infra-cost-optimization-with-aws-inferentia.html
Spring Data Redis Repository 미숙하게 사용해 발생한 장애 극복기,2022.12.12,redis#spring-data-redis#secondary-index#ttl,하이퍼커넥트,https://hyperconnect.github.io/2022/12/12/fix-increasing-memory-usage.html
CPaaS QA가 하는 일,2022.11.01,qa#testing,하이퍼커넥트,https://hyperconnect.github.io/2022/11/01/What-CPaaS-QA-does.html
카프카 생태계 기반의 비즈니스 메트릭 생성하기,2022.10.14,ksqldb#kafka connect#kafka-streams,하이퍼커넥트,https://hyperconnect.github.io/2022/10/14/grafana-with-ksqlDB.html
Spring WebClient에서 새어나가는 메모리 잡기,2022.10.07,spring#webflux#memory,하이퍼커넥트,https://hyperconnect.github.io/2022/10/07/troubleshoot-webclient-oom.html
JVM + Container 환경에서 수상한 Memory 사용량 증가 현상 분석하기,2022.07.19,java#kubernetes#cgroup#webflux#memory,하이퍼커넥트,https://hyperconnect.github.io/2022/07/19/suspicious-jvm-memory-in-container.html
머신러닝 어플리케이션을 위한 데이터 저장소 기술,2022.07.11,machine learning#data-store,하이퍼커넥트,https://hyperconnect.github.io/2022/07/11/data-stores-for-ml-apps.html
Junior 개발자의 글로벌 서비스 경험기 1탄,2022.07.06,andorid#junior,하이퍼커넥트,https://hyperconnect.github.io/2022/07/06/azar-android-junior-developer-view.html
개발자의 AWS 권한을 GitOps로 우아하게 관리하는 방법,2022.05.12,aws#sso#vpn#gitops#permission,하이퍼커넥트,https://hyperconnect.github.io/2022/05/12/aws-permission-management-using-gitops.html
