title,date,tags,company,link
[SaaS] 프론트엔드 개발자가 API를 설계하는 이유,2023.11.03,idl#google protocol buffer#인터페이스 관리,강남언니,https://blog.gangnamunni.com/post/saas-why-do-frontend-developers-design-api
강남언니가 비즈니스 파트너와 함께 성장하는 방법,2023.09.14,플랫폼 비즈니스#영업전략#파트너성장#성장 플레이북,강남언니,https://blog.gangnamunni.com/post/growup-with-partner
[SaaS] Enterprise 환경으로 확장하기 쉬운 Multi-Tenancy 서비스 구축하기,2023.08.14,mongodb#aws eks#docker#gomplate#kubernetes,강남언니,https://blog.gangnamunni.com/post/saas-enterprise-multi-tenancy
[SaaS] Private AWS EKS Cluster With Github Actions,2023.08.14,git#github actions#eks#self-hosted runner,강남언니,https://blog.gangnamunni.com/post/saas-private-aws-eks
[SaaS] Micro Frontends를 위해 Module Federation 적용하기,2023.08.14,micro-frontends#module-federation#webpack#react,강남언니,https://blog.gangnamunni.com/post/saas-microfrontends
[SaaS] 병원향 B2B SaaS 제품에 도전합니다,2023.08.13,b2b#saas#solutions#crm#multi-tenancy,강남언니,https://blog.gangnamunni.com/post/saas-prologue
B2B 프로덕트에서 고객의 흔적 찾기,2023.08.07,design#b2b#product#ux#product designer,강남언니,https://blog.gangnamunni.com/post/design-in-b2bproducts
분산 시스템에서 메시지 안전하게 다루기,2023.07.06,transactional outbox#message,강남언니,https://blog.gangnamunni.com/post/transactional-outbox
실험하려다 파편화 부채를 청산했어요.,2023.06.20,design#product#ux#ui,강남언니,https://blog.gangnamunni.com/post/design-consistency
변별력을 200% 더 높인 개발자 채용 방법: 코드 리뷰 테스트,2023.05.17,recruit#coding test#코드 리뷰 테스트,강남언니,https://blog.gangnamunni.com/post/code-review-test
강남언니에는 비즈니스 자가진단 키트가 있다,2023.04.26,business#data#사업관리,강남언니,https://blog.gangnamunni.com/post/business-metric
강남언니팀의 핵심가치 브랜딩하기,2023.03.06,,강남언니,https://blog.gangnamunni.com/post/cve_branding
트랜잭션은 도메인 모델이 아니다,2023.02.06,inversion of control#domain driven design#transaction,강남언니,https://blog.gangnamunni.com/post/isolate-transaction-from-domain-model
PO가 비즈니스 전략을 제품에 녹이는 방법,2023.01.05,지역확장#po#제품개선#전략#강남언니#search#홈,강남언니,https://blog.gangnamunni.com/post/how-to-reflect-business-strategy-in-your-product
"목적을 생각하면, 일하는 방식이 바뀐다",2022.06.13,일하는방법#organizational culture,강남언니,https://blog.gangnamunni.com/post/whywework
강남언니가 고객의 문제를 찾는 방법,2022.03.16,고객의문제#정성적#정량적#voc#ut#data,강남언니,https://blog.gangnamunni.com/post/userproblem
고객의 문제를 작고 빠르게 해결하기 위해 필요한 3가지,2022.03.11,,강남언니,https://blog.gangnamunni.com/post/how-to-build-a-product
우리는 고객을 전혀 모르고 있었어요.. UT를 하기 전까지는요..!,2022.03.07,ut#usabilitytest#usabilitytest#usabilitytest,강남언니,https://blog.gangnamunni.com/post/usability-test-team
"PO, 프로덕트 디자이너가 개발 아키텍처까지 알아야하나요?",2022.01.26,design#po#product-owner#architecture#product designer,강남언니,https://blog.gangnamunni.com/post/Architecture-sync
